# Очень сложная логика

(a==b or c==d) and not(e!=b or f==d)

a b c d e f F  N10
0 0 0 0 0 0 0  0.0
0 0 0 0 0 1 1  0.793779
0 0 0 0 1 0 0  -0.446894
0 0 0 0 1 1 0  0.594595
0 0 0 1 0 0 1  0.990711
0 0 0 1 0 1 0  0.910187
0 0 0 1 1 0 0  0.838246
0 0 0 1 1 1 0  0.778994
0 0 1 0 0 0 0  0.59682
0 0 1 0 0 1 1  0.876839
0 0 1 0 1 0 0  0.61421
0 0 1 0 1 1 0  0.825571
0 0 1 1 0 0 1  0.947819
0 0 1 1 0 1 0  0.807832
0 0 1 1 1 0 0  0.837265
0 0 1 1 1 1 0  0.773771
0 1 0 0 0 0 0  0.27182
0 1 0 0 0 1 0  0.778753
0 1 0 0 1 0 0  0.711898
0 1 0 0 1 1 1  0.854367
0 1 0 1 0 0 0  0.897568
0 1 0 1 0 1 0  0.776066
0 1 0 1 1 0 0  0.845845
0 1 0 1 1 1 0  0.77784
0 1 1 0 0 0 0  0.840934
0 1 1 0 0 1 0  0.91434
0 1 1 0 1 0 0  0.912106
0 1 1 0 1 1 0  0.890741
0 1 1 1 0 0 0  0.886446
0 1 1 1 0 1 0  0.803273
0 1 1 1 1 0 1  0.838623
0 1 1 1 1 1 0  0.781689
1 0 0 0 0 0 0  -0.628564
1 0 0 0 0 1 1  0.951532
1 0 0 0 1 0 0  -0.608237
1 0 0 0 1 1 0  0.86204
1 0 0 1 0 0 0  0.963371
1 0 0 1 0 1 0  0.941941
1 0 0 1 1 0 0  0.734035
1 0 0 1 1 1 0  0.814601
1 0 1 0 0 0 0  0.736983
1 0 1 0 0 1 0  0.968396
1 0 1 0 1 0 0  0.603415
1 0 1 0 1 1 0  0.872215
1 0 1 1 0 0 1  0.963578
1 0 1 1 0 1 0  0.895433
1 0 1 1 1 0 0  0.830614
1 0 1 1 1 1 0  0.794153
1 1 0 0 0 0 0  0.216993
1 1 0 0 0 1 0  0.967773
1 1 0 0 1 0 0  0.776036
1 1 0 0 1 1 1  0.951966
1 1 0 1 0 0 0  0.882546
1 1 0 1 0 1 0  0.888659
1 1 0 1 1 0 1  0.82284
1 1 0 1 1 1 0  0.823824
1 1 1 0 0 0 0  0.865007
1 1 1 0 0 1 0  0.957248
1 1 1 0 1 0 0  0.867326
1 1 1 0 1 1 1  0.898099
1 1 1 1 0 0 0  0.890247
1 1 1 1 0 1 0  0.841328
1 1 1 1 1 0 1  0.812061
1 1 1 1 1 1 0  0.78427

Inputs: 6 | Outputs: 1
0 0 0 0 0 0 0  0 0 0 0 0 1 1  0 0 0 0 1 0 0  0 0 0 0 1 1 0  0 0 0 1 0 0 1  0 0 0 1 0 1 0  0 0 0 1 1 0 0  0 0 0 1 1 1 0  0 0 1 0 0 0 0  0 0 1 0 0 1 1  0 0 1 0 1 0 0  0 0 1 0 1 1 0  0 0 1 1 0 0 1  0 0 1 1 0 1 0  0 0 1 1 1 0 0  0 0 1 1 1 1 0  0 1 0 0 0 0 0  0 1 0 0 0 1 0  0 1 0 0 1 0 0  0 1 0 0 1 1 1  0 1 0 1 0 0 0  0 1 0 1 0 1 0  0 1 0 1 1 0 0  0 1 0 1 1 1 0  0 1 1 0 0 0 0  0 1 1 0 0 1 0  0 1 1 0 1 0 0  0 1 1 0 1 1 0  0 1 1 1 0 0 0  0 1 1 1 0 1 0  0 1 1 1 1 0 1  0 1 1 1 1 1 0  1 0 0 0 0 0 0  1 0 0 0 0 1 1  1 0 0 0 1 0 0  1 0 0 0 1 1 0  1 0 0 1 0 0 0  1 0 0 1 0 1 0  1 0 0 1 1 0 0  1 0 0 1 1 1 0  1 0 1 0 0 0 0  1 0 1 0 0 1 0  1 0 1 0 1 0 0  1 0 1 0 1 1 0  1 0 1 1 0 0 1  1 0 1 1 0 1 0  1 0 1 1 1 0 0  1 0 1 1 1 1 0  1 1 0 0 0 0 0  1 1 0 0 0 1 0  1 1 0 0 1 0 0  1 1 0 0 1 1 1  1 1 0 1 0 0 0  1 1 0 1 0 1 0  1 1 0 1 1 0 1  1 1 0 1 1 1 0  1 1 1 0 0 0 0  1 1 1 0 0 1 0  1 1 1 0 1 0 0  1 1 1 0 1 1 1  1 1 1 1 0 0 0  1 1 1 1 0 1 0  1 1 1 1 1 0 1  1 1 1 1 1 1 0  
